# Particle id
# Time in code units
# x in code units
# y in code units
# z in code units
# vx in code units
# vy in code units
# vz in code units
#id   t              x              y              z              vx             vy             vz          
0     0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     0.000000e+00   8.775826e-01   4.794255e-01   0.000000e+00  -3.012320e+00   5.514014e+00   0.000000e+00
0     9.993926e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     9.993926e-01   8.794059e-01   4.760727e-01   0.000000e+00  -2.991253e+00   5.525471e+00   0.000000e+00
0     1.999492e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.999492e+00   8.791092e-01   4.766204e-01   0.000000e+00  -2.994695e+00   5.523606e+00   0.000000e+00
0     2.999573e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.999573e+00   8.788660e-01   4.770687e-01   0.000000e+00  -2.997511e+00   5.522078e+00   0.000000e+00
0     3.999651e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.999651e+00   8.786321e-01   4.774994e-01   0.000000e+00  -3.000217e+00   5.520608e+00   0.000000e+00
0     4.999728e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.999728e+00   8.784000e-01   4.779262e-01   0.000000e+00  -3.002899e+00   5.519150e+00   0.000000e+00
0     5.999805e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     5.999805e+00   8.781682e-01   4.783521e-01   0.000000e+00  -3.005575e+00   5.517693e+00   0.000000e+00
0     6.999883e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     6.999883e+00   8.779362e-01   4.787776e-01   0.000000e+00  -3.008248e+00   5.516236e+00   0.000000e+00
0     7.999960e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     7.999960e+00   8.777041e-01   4.792031e-01   0.000000e+00  -3.010922e+00   5.514777e+00   0.000000e+00
0     8.999416e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     8.999416e+00   8.793359e-01   4.762020e-01   0.000000e+00  -2.992065e+00   5.525031e+00   0.000000e+00
0     9.999493e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     9.999493e+00   8.791057e-01   4.766269e-01   0.000000e+00  -2.994735e+00   5.523584e+00   0.000000e+00
0     1.099957e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.099957e+01   8.788741e-01   4.770539e-01   0.000000e+00  -2.997418e+00   5.522129e+00   0.000000e+00
0     1.199965e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.199965e+01   8.786427e-01   4.774798e-01   0.000000e+00  -3.000094e+00   5.520675e+00   0.000000e+00
0     1.299972e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.299972e+01   8.784113e-01   4.779055e-01   0.000000e+00  -3.002769e+00   5.519221e+00   0.000000e+00
0     1.399980e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.399980e+01   8.781796e-01   4.783311e-01   0.000000e+00  -3.005443e+00   5.517765e+00   0.000000e+00
0     1.499988e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.499988e+01   8.779477e-01   4.787565e-01   0.000000e+00  -3.008116e+00   5.516308e+00   0.000000e+00
0     1.599996e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.599996e+01   8.777156e-01   4.791819e-01   0.000000e+00  -3.010789e+00   5.514850e+00   0.000000e+00
0     1.699941e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.699941e+01   8.793473e-01   4.761809e-01   0.000000e+00  -2.991933e+00   5.525102e+00   0.000000e+00
0     1.799949e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.799949e+01   8.791165e-01   4.766069e-01   0.000000e+00  -2.994610e+00   5.523652e+00   0.000000e+00
0     1.899957e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.899957e+01   8.788855e-01   4.770328e-01   0.000000e+00  -2.997285e+00   5.522201e+00   0.000000e+00
0     1.999964e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.999964e+01   8.786542e-01   4.774587e-01   0.000000e+00  -2.999961e+00   5.520747e+00   0.000000e+00
0     2.099972e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.099972e+01   8.784228e-01   4.778843e-01   0.000000e+00  -3.002636e+00   5.519293e+00   0.000000e+00
0     2.199980e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.199980e+01   8.781911e-01   4.783099e-01   0.000000e+00  -3.005310e+00   5.517838e+00   0.000000e+00
0     2.299987e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.299987e+01   8.779593e-01   4.787354e-01   0.000000e+00  -3.007983e+00   5.516381e+00   0.000000e+00
0     2.399995e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.399995e+01   8.777272e-01   4.791607e-01   0.000000e+00  -3.010656e+00   5.514923e+00   0.000000e+00
0     2.499941e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.499941e+01   8.793588e-01   4.761597e-01   0.000000e+00  -2.991800e+00   5.525175e+00   0.000000e+00
0     2.599949e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.599949e+01   8.791280e-01   4.765857e-01   0.000000e+00  -2.994476e+00   5.523724e+00   0.000000e+00
0     2.699956e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.699956e+01   8.788970e-01   4.770116e-01   0.000000e+00  -2.997152e+00   5.522273e+00   0.000000e+00
0     2.799964e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.799964e+01   8.786657e-01   4.774374e-01   0.000000e+00  -2.999828e+00   5.520820e+00   0.000000e+00
0     2.899972e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.899972e+01   8.784343e-01   4.778631e-01   0.000000e+00  -3.002503e+00   5.519365e+00   0.000000e+00
0     2.999979e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.999979e+01   8.782026e-01   4.782887e-01   0.000000e+00  -3.005177e+00   5.517910e+00   0.000000e+00
0     3.099987e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.099987e+01   8.779708e-01   4.787142e-01   0.000000e+00  -3.007850e+00   5.516453e+00   0.000000e+00
0     3.199995e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.199995e+01   8.777387e-01   4.791396e-01   0.000000e+00  -3.010523e+00   5.514995e+00   0.000000e+00
0     3.299940e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.299940e+01   8.793703e-01   4.761385e-01   0.000000e+00  -2.991666e+00   5.525247e+00   0.000000e+00
0     3.399948e+01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.399948e+01   8.791395e-01   4.765645e-01   0.000000e+00  -2.994343e+00   5.523796e+00   0.000000e+00
