# Particle id
# Time in code units
# x in code units
# y in code units
# z in code units
# vx in code units
# vy in code units
# vz in code units
#id   t              x              y              z              vx             vy             vz          
0     0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     0.000000e+00   8.775826e-01   4.794255e-01   0.000000e+00  -3.012321e+00   5.514017e+00   0.000000e+00
0     9.957534e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     9.957534e-02   4.305895e-01   9.025481e-01   0.000000e+00  -5.670876e+00   2.705478e+00   0.000000e+00
0     1.996180e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.996180e-01  -1.824135e-01   9.832226e-01   0.000000e+00  -6.177766e+00  -1.146131e+00   0.000000e+00
0     2.996445e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.996445e-01  -7.256136e-01   6.881042e-01   0.000000e+00  -4.323481e+00  -4.559152e+00   0.000000e+00
0     3.996687e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.996687e-01  -9.915112e-01   1.300337e-01   0.000000e+00  -8.170261e-01  -6.229831e+00   0.000000e+00
0     4.996957e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.996957e-01  -8.785012e-01  -4.777436e-01   0.000000e+00   3.001745e+00  -5.519769e+00   0.000000e+00
0     5.997224e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     5.997224e-01  -4.297614e-01  -9.029439e-01   0.000000e+00   5.673355e+00  -2.700259e+00   0.000000e+00
0     6.997448e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     6.997448e-01   1.831903e-01  -9.830779e-01   0.000000e+00   6.176857e+00   1.151027e+00   0.000000e+00
0     7.997608e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     7.997608e-01   7.261114e-01  -6.875765e-01   0.000000e+00   4.320170e+00   4.562304e+00   0.000000e+00
0     8.997711e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     8.997711e-01   9.915917e-01  -1.293979e-01   0.000000e+00   8.130282e-01   6.230371e+00   0.000000e+00
