# id = 0: COM of central object
# id = 1: COM of all objects
# Time in code units
# comX in code units
# comY in code units
# comZ in code units
# comVelX in code units
# comVelY in code units
# comVelZ in code units
#id   t              x              y              z              vx             vy             vz          
0     0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     0.000000e+00   2.632669e-05   1.438233e-05   0.000000e+00  -9.036823e-05   1.654179e-04   0.000000e+00
0     9.957525e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     9.957525e-02   3.025897e-07   6.342608e-07   0.000000e+00  -3.985160e-06   1.901304e-06   0.000000e+00
0     1.996169e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.996169e-01  -5.118079e-07   2.758775e-06   0.000000e+00  -1.733354e-05  -3.215227e-06   0.000000e+00
0     2.996402e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.996402e-01  -4.428193e-06   4.199722e-06   0.000000e+00  -2.638675e-05  -2.782082e-05   0.000000e+00
0     3.996579e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.996579e-01  -1.018388e-05   1.337015e-06   0.000000e+00  -8.400724e-06  -6.398175e-05   0.000000e+00
0     4.996739e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.996739e-01  -1.309367e-05  -7.116150e-06   0.000000e+00   4.470910e-05  -8.226248e-05   0.000000e+00
0     5.996840e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     5.996840e-01  -8.405915e-06  -1.764251e-05   0.000000e+00   1.108461e-04  -5.280945e-05   0.000000e+00
0     6.996836e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     6.996836e-01   4.335041e-06  -2.333823e-05   0.000000e+00   1.466353e-04   2.724357e-05   0.000000e+00
0     7.996709e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     7.996709e-01   1.964645e-05  -1.863169e-05   0.000000e+00   1.170661e-04   1.234516e-04   0.000000e+00
0     8.996473e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     8.996473e-01   2.898378e-05  -3.809485e-06   0.000000e+00   2.393326e-05   1.821255e-04   0.000000e+00
0     9.996164e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     9.996164e-01   2.636127e-05   1.431561e-05   0.000000e+00  -8.995624e-05   1.656485e-04   0.000000e+00
0     1.099575e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.099575e+00   1.291802e-05   2.707420e-05   0.000000e+00  -1.701239e-04   8.117678e-05   0.000000e+00
0     1.199503e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.199503e+00  -5.450800e-06   2.949935e-05   0.000000e+00  -1.853587e-04  -3.424275e-05   0.000000e+00
0     1.299398e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.299398e+00  -2.173622e-05   2.067617e-05   0.000000e+00  -1.299162e-04  -1.365666e-04   0.000000e+00
0     1.399262e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.399262e+00  -2.973526e-05   3.977139e-06   0.000000e+00  -2.499228e-05  -1.868224e-04   0.000000e+00
0     1.499100e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.499100e+00  -2.640931e-05  -1.423256e-05   0.000000e+00   8.942003e-05  -1.659239e-04   0.000000e+00
0     1.598917e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.598917e+00  -1.303180e-05  -2.702176e-05   0.000000e+00   1.697763e-04  -8.187321e-05   0.000000e+00
0     1.698721e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.698721e+00   5.303031e-06  -2.952703e-05   0.000000e+00   1.855208e-04   3.332668e-05   0.000000e+00
0     1.798521e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.798521e+00   2.161936e-05  -2.079726e-05   0.000000e+00   1.306731e-04   1.358489e-04   0.000000e+00
0     1.898326e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.898326e+00   2.970922e-05  -4.153145e-06   0.000000e+00   2.609258e-05   1.866842e-04   0.000000e+00
0     1.999888e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.999888e+00   2.633568e-05   1.436328e-05   0.000000e+00  -9.025595e-05   1.654879e-04   0.000000e+00
0     2.099706e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.099706e+00   1.289298e-05   2.708609e-05   0.000000e+00  -1.701990e-04   8.101956e-05   0.000000e+00
0     2.199529e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.199529e+00  -5.458644e-06   2.949787e-05   0.000000e+00  -1.853497e-04  -3.429211e-05   0.000000e+00
0     2.299353e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.299353e+00  -2.173254e-05   2.067998e-05   0.000000e+00  -1.299404e-04  -1.365437e-04   0.000000e+00
0     2.399177e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.399177e+00  -2.973350e-05   3.989971e-06   0.000000e+00  -2.507295e-05  -1.868117e-04   0.000000e+00
0     2.498998e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.498998e+00  -2.641688e-05  -1.421841e-05   0.000000e+00   8.933133e-05  -1.659718e-04   0.000000e+00
0     2.598816e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.598816e+00  -1.304603e-05  -2.701485e-05   0.000000e+00   1.697332e-04  -8.196279e-05   0.000000e+00
0     2.698633e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.698633e+00   5.289852e-06  -2.952935e-05   0.000000e+00   1.855358e-04   3.324396e-05   0.000000e+00
0     2.798450e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.798450e+00   2.161223e-05  -2.080462e-05   0.000000e+00   1.307195e-04   1.358044e-04   0.000000e+00
0     2.898267e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.898267e+00   2.970812e-05  -4.160747e-06   0.000000e+00   2.614039e-05   1.866777e-04   0.000000e+00
0     2.999837e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.999837e+00   2.633863e-05   1.435779e-05   0.000000e+00  -9.022162e-05   1.655068e-04   0.000000e+00
0     3.099656e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.099656e+00   1.289840e-05   2.708346e-05   0.000000e+00  -1.701828e-04   8.105381e-05   0.000000e+00
0     3.199475e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.199475e+00  -5.452105e-06   2.949903e-05   0.000000e+00  -1.853574e-04  -3.425111e-05   0.000000e+00
0     3.299294e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.299294e+00  -2.172723e-05   2.068550e-05   0.000000e+00  -1.299754e-04  -1.365106e-04   0.000000e+00
0     3.399113e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.399113e+00  -2.973232e-05   3.998480e-06   0.000000e+00  -2.512647e-05  -1.868047e-04   0.000000e+00
0     3.498931e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.498931e+00  -2.642112e-05  -1.421044e-05   0.000000e+00   8.928140e-05  -1.659988e-04   0.000000e+00
0     3.598749e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.598749e+00  -1.305423e-05  -2.701085e-05   0.000000e+00   1.697084e-04  -8.201446e-05   0.000000e+00
0     3.698566e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.698566e+00   5.280863e-06  -2.953092e-05   0.000000e+00   1.855460e-04   3.318754e-05   0.000000e+00
0     3.798382e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.798382e+00   2.160583e-05  -2.081121e-05   0.000000e+00   1.307612e-04   1.357644e-04   0.000000e+00
0     3.899950e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.899950e+00   2.975087e-05  -3.842769e-06   0.000000e+00   2.414243e-05   1.869467e-04   0.000000e+00
0     3.999768e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.999768e+00   2.634304e-05   1.434960e-05   0.000000e+00  -9.017034e-05   1.655349e-04   0.000000e+00
0     4.099586e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.099586e+00   1.290683e-05   2.707940e-05   0.000000e+00  -1.701577e-04   8.110692e-05   0.000000e+00
0     4.199404e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.199404e+00  -5.442663e-06   2.950073e-05   0.000000e+00  -1.853685e-04  -3.419185e-05   0.000000e+00
0     4.299221e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.299221e+00  -2.172026e-05   2.069276e-05   0.000000e+00  -1.300212e-04  -1.364671e-04   0.000000e+00
0     4.399036e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.399036e+00  -2.973086e-05   4.009007e-06   0.000000e+00  -2.519266e-05  -1.867959e-04   0.000000e+00
0     4.498851e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.498851e+00  -2.642643e-05  -1.420048e-05   0.000000e+00   8.921902e-05  -1.660325e-04   0.000000e+00
0     4.598666e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.598666e+00  -1.306473e-05  -2.700573e-05   0.000000e+00   1.696766e-04  -8.208058e-05   0.000000e+00
0     4.698483e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.698483e+00   5.269431e-06  -2.953292e-05   0.000000e+00   1.855589e-04   3.311577e-05   0.000000e+00
0     4.798301e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.798301e+00   2.159799e-05  -2.081929e-05   0.000000e+00   1.308123e-04   1.357155e-04   0.000000e+00
0     4.899869e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.899869e+00   2.974941e-05  -3.853735e-06   0.000000e+00   2.421139e-05   1.869379e-04   0.000000e+00
0     4.999686e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
