# Number of bins: 3
#
# Size [cm]:     1.500000e+00  4.242641e+00  1.200000e+01   1.500000e+00   4.242641e+00   1.200000e+01
#
# Time           Normalized dust force                     Number of particles counted
#
0.000000e+00    -1.209127e-03 -2.257013e-03  1.359522e-04         942878         942557         942824
9.957525e-02     4.288448e-02  1.047459e-01 -9.032733e-03         942071         941896         942812
1.996169e-01     3.396166e-02  3.394547e-02 -4.350995e-02         939797         939833         941689
2.996402e-01     1.269932e-02  2.517513e-02 -1.167225e-01         936686         937041         939853
3.996579e-01    -6.179857e-03 -8.613673e-03 -6.217604e-02         933966         934375         938066
4.996739e-01    -9.450418e-03  2.826269e-02 -3.590910e-02         932278         932800         937332
5.996840e-01    -1.499241e-02  5.352861e-02 -5.956083e-02         932357         933069         938421
6.996836e-01    -2.174323e-02  9.826982e-03 -3.552235e-02         934392         935283         941328
7.996709e-01    -2.723238e-02 -1.857315e-02 -4.176938e-02         937544         938485         945454
8.996473e-01    -3.095547e-02 -3.791239e-02 -2.862424e-02         940481         941684         949469
9.996164e-01    -1.062168e-02 -6.351301e-02 -3.497790e-02         942465         943740         952399
1.099575e+00     7.441008e-03 -7.984843e-02 -1.342910e-02         942763         944227         953635
1.199503e+00     2.844546e-02 -9.053023e-02  5.422969e-02         940885         942452         952790
1.299398e+00     1.795857e-02 -8.244806e-02 -1.138448e-02         936928         938652         949822
1.399262e+00     4.270486e-03 -5.383802e-02 -3.325866e-03         933146         935004         946610
1.499100e+00    -2.702719e-02 -4.243832e-02 -3.704562e-02         931674         933600         945280
1.598917e+00    -2.200853e-02 -2.587378e-02 -3.438598e-02         932885         934889         946606
1.698721e+00    -4.786772e-02 -2.395915e-03 -5.395248e-02         935854         938140         949687
1.798521e+00    -6.793952e-02  1.015299e-02 -4.379497e-02         939104         941539         952960
1.898326e+00    -7.388573e-02  1.996481e-02 -1.890775e-02         941259         943926         955107
1.999888e+00    -6.761275e-02 -7.083669e-03  1.468366e-02         941748         944485         955212
2.099706e+00    -8.715710e-02 -4.085838e-02  2.015281e-02         940581         943412         953597
2.199529e+00    -7.724411e-02 -2.432597e-02  3.275094e-02         938675         941569         951245
2.299353e+00    -5.855368e-02 -1.326066e-02  1.777869e-02         936903         939966         949028
2.399177e+00    -5.156165e-02 -2.978948e-02  2.096080e-02         935730         938887         947257
2.498998e+00    -7.612526e-02 -6.246523e-02 -4.290327e-03         935245         938445         946052
2.598816e+00    -7.944716e-02 -6.326921e-02 -2.865829e-02         935558         938896         945597
2.698633e+00    -7.814584e-02 -5.204731e-02 -4.869976e-03         936568         940174         945879
2.798450e+00    -6.626709e-02 -2.865995e-02  3.263286e-02         938117         941957         946570
2.898267e+00    -7.411234e-02 -1.429431e-02  5.650514e-02         939626         943563         947433
2.999837e+00    -8.065096e-02 -1.198101e-03  7.867241e-02         940551         944654         947843
3.099656e+00    -8.628479e-02  1.027502e-02  6.151064e-02         940576         944757         947243
3.199475e+00    -9.697029e-02  3.158827e-02  1.020686e-01         939735         944008         945856
3.299294e+00    -1.031414e-01  3.819346e-02  5.155140e-02         938377         942709         943853
3.399113e+00    -8.175828e-02  4.628870e-03  3.698822e-02         936976         941436         941760
3.498931e+00    -6.904084e-02 -2.895645e-02  4.687441e-02         936266         940723         940131
3.598749e+00    -7.496305e-02 -3.244434e-02  3.286894e-02         936355         940961         939466
3.698566e+00    -7.393746e-02 -6.204545e-02  3.549832e-02         937257         941986         939853
3.798382e+00    -7.132977e-02 -4.762344e-02  6.510995e-02         938610         943499         940464
3.899950e+00    -6.224072e-02 -4.238243e-02  5.176953e-02         939878         944848         941225
3.999768e+00    -5.779867e-02 -5.347813e-02  1.103549e-01         940530         945593         941178
4.099586e+00    -5.681706e-02 -1.814753e-02  1.121048e-01         940564         945647         940270
4.199404e+00    -8.007140e-02 -3.459041e-02  8.585622e-02         939919         945167         938885
4.299221e+00    -7.440740e-02 -4.449608e-02  6.472394e-02         939006         944312         937282
4.399036e+00    -7.918257e-02 -5.573621e-02  5.328786e-02         938205         943596         935994
4.498851e+00    -3.749461e-02 -4.318146e-02  6.682762e-02         937733         943166         935131
4.598666e+00    -2.529767e-02 -3.678278e-02  1.000398e-01         937652         943189         934512
4.698483e+00    -3.712540e-02 -3.427383e-03  1.110106e-01         938118         943690         934132
4.798301e+00    -5.563634e-02  1.174256e-02  7.722945e-02         938856         944454         934070
4.899869e+00    -8.382770e-02  1.907720e-02  6.888859e-02         939622         945361         934122
4.999686e+00    -9.740619e-02 -8.243527e-03  4.259555e-02         940334         946089         934217
5.099503e+00    -9.662914e-02 -5.128619e-02  3.929439e-02         940594         946402         933940
5.199319e+00    -9.912170e-02 -6.734460e-02  3.478531e-02         940517         946380         933269
5.299136e+00    -9.233454e-02 -6.236563e-02  8.446441e-02         940060         945904         932241
5.398953e+00    -8.233538e-02 -4.052374e-02  1.070174e-01         939379         945157         930952
5.498771e+00    -9.491721e-02 -6.775887e-02  1.636592e-01         938612         944509         929507
5.598590e+00    -8.632059e-02 -9.513057e-02  1.515228e-01         938203         944152         928347
5.698407e+00    -7.768058e-02 -1.182075e-01  1.794728e-01         938462         944393         927746
5.799975e+00    -5.119137e-02 -1.037719e-01  1.711410e-01         939212         945083         927844
5.899791e+00    -5.315322e-02 -5.508203e-02  1.354939e-01         940119         946028         928176
5.999606e+00    -6.195084e-02 -1.850936e-02  1.082735e-01         940866         946881         928405
6.099422e+00    -4.345495e-02  4.152715e-03  1.121402e-01         941127         947197         928116
6.199238e+00    -5.081584e-02  3.625133e-02  1.197313e-01         940854         946842         927194
6.299055e+00    -3.775400e-02  2.359472e-02  1.603725e-01         940191         946131         925850
6.398873e+00    -3.439660e-02 -4.815675e-03  1.628171e-01         939498         945497         924534
6.498690e+00    -4.563690e-02 -2.572175e-02  1.364075e-01         939070         944995         923382
6.598507e+00    -3.411876e-02 -1.179923e-02  1.150566e-01         939051         944924         922659
6.698324e+00    -1.525592e-03  1.739051e-02  1.164708e-01         939342         945289         922330
6.799891e+00    -6.705175e-03  4.091877e-02  6.677522e-02         939962         945832         922263
6.899708e+00    -5.530513e-02  1.476964e-02  1.254775e-01         940477         946323         922203
6.999524e+00    -4.895460e-02 -9.569649e-03  1.542223e-01         940894         946620         922097
7.099341e+00    -3.400534e-02 -3.314107e-02  1.533217e-01         941037         946679         921660
7.199158e+00    -9.401047e-05 -1.360400e-02  1.164747e-01         940842         946583         921021
7.298974e+00     1.426736e-02  1.111224e-02  1.069646e-01         940534         946262         920151
7.398791e+00     6.538806e-03  1.890189e-02  1.131819e-01         940216         945923         919189
7.498607e+00     2.153404e-03  2.675188e-02  8.165664e-02         939891         945620         918285
7.598424e+00    -2.296513e-02  4.582985e-02  8.933294e-02         939802         945518         917552
7.699992e+00    -4.433733e-02  1.367699e-02  1.435344e-01         939841         945542         916985
7.799809e+00    -5.415222e-02 -1.635861e-02  1.542275e-01         940210         945755         916573
7.899626e+00    -5.260734e-02 -1.058684e-02  1.832398e-01         940602         946115         916431
7.999442e+00    -3.989982e-02 -1.406420e-02  1.620907e-01         940967         946433         916056
8.099259e+00    -4.198306e-02 -6.115904e-03  1.214932e-01         941180         946610         915639
8.199075e+00    -2.166027e-02  3.294512e-02  5.792833e-02         941206         946547         914974
8.298892e+00    -2.172786e-02  3.362930e-02  8.254759e-02         941029         946250         914176
8.398709e+00    -2.942330e-02  6.233431e-02  1.069403e-01         940814         945975         913211
8.498525e+00    -4.931301e-02  7.346426e-02  1.223223e-01         940576         945625         912296
8.598342e+00    -1.478569e-02  9.125667e-02  1.270563e-01         940463         945456         911635
8.699910e+00    -2.534061e-02  7.679723e-02  1.208607e-01         940515         945396         911184
8.799727e+00    -3.601906e-02  2.913404e-02  1.002379e-01         940709         945618         910972
8.899544e+00    -1.415754e-02 -3.014793e-02  1.450480e-01         941049         945746         910588
8.999360e+00    -1.732874e-02 -2.267498e-02  1.355278e-01         941381         945914         910155
9.099177e+00    -1.377623e-02 -6.553869e-02  1.163566e-01         941617         946020         909730
9.198993e+00    -3.516615e-02 -6.654951e-02  1.127532e-01         941683         945935         909071
9.298810e+00    -5.104390e-02 -3.196067e-02  9.309986e-02         941595         945779         908423
