# Number of bins: 20
#
# Size [cm]:     5.000000e-01  6.071401e-01  7.372383e-01  8.952140e-01  1.087041e+00  1.319972e+00  1.602816e+00  1.946268e+00  2.363315e+00  2.869727e+00  3.484652e+00  4.231345e+00  5.138039e+00  6.239019e+00  7.575918e+00  9.199288e+00  1.117051e+01  1.356413e+01  1.647066e+01  2.000000e+01   5.000000e-01   6.071401e-01   7.372383e-01   8.952140e-01   1.087041e+00   1.319972e+00   1.602816e+00   1.946268e+00   2.363315e+00   2.869727e+00   3.484652e+00   4.231345e+00   5.138039e+00   6.239019e+00   7.575918e+00   9.199288e+00   1.117051e+01   1.356413e+01   1.647066e+01   2.000000e+01
#
# Time           Normalized dust force                                                                                                                                                                                                                                                                   Number of particles counted
#
0.000000e+00     1.885584e-03 -5.444199e-03 -1.785919e-03 -1.448280e-02  3.251803e-03  2.235838e-03 -1.037783e-02 -8.918308e-03  1.352921e-02 -3.740107e-03 -2.405735e-04  6.694493e-03  6.181829e-03  6.272962e-03  2.970362e-03  3.988005e-04 -5.254879e-03 -2.389501e-03  6.854568e-03 -3.304184e-03          47141          47067          47147          47149          47148          47052          47220          47173          47154          47183          47093          47152          47118          47158          47105          47078          47059          47100          47023          47220
9.957533e-02    -4.123796e-02  1.227932e-02  1.149377e-02 -1.958289e-01 -4.849706e-03  1.347121e-01 -2.779664e-01 -1.251510e-01  5.226013e-01  3.017485e-01 -9.649414e-02  2.383917e-01 -1.951506e-01 -2.428530e-01  4.974193e-01 -1.804079e-01 -5.201350e-01  5.565725e-01 -6.574692e-01  3.481128e-01          47087          47029          47102          47107          47099          47008          47184          47141          47106          47159          47066          47108          47094          47141          47088          47066          47058          47101          47027          47239
1.996179e-01    -1.010662e-01  1.156687e-01  4.404864e-02 -2.819315e-01 -7.006330e-02  1.673150e-01 -2.642035e-01 -1.457845e-01  5.429433e-01  2.364286e-01 -1.479437e-01  3.661640e-02 -8.294090e-02 -3.489604e-01  4.836331e-01 -5.966358e-03 -5.195497e-01  6.888581e-01 -8.590512e-01 -3.372972e-01          46969          46927          46992          46995          46987          46897          47080          47035          47011          47058          46957          47026          46998          47042          46994          47000          47014          47073          47007          47251
2.996441e-01    -1.045422e-01  1.435322e-01  8.922340e-02 -3.036485e-01 -4.850527e-02  2.435704e-01 -1.728434e-01 -2.884865e-01  3.733102e-01  2.755807e-01 -2.642249e-01 -1.357035e-01  1.534871e-01 -2.854714e-01  4.185150e-01 -2.388454e-01 -2.194820e-01  3.915316e-01 -1.180682e-01 -2.173589e-01          46818          46772          46821          46877          46853          46739          46934          46870          46863          46910          46814          46888          46864          46923          46884          46901          46937          46994          46960          47236
3.996678e-01    -9.252794e-02  5.036512e-02  1.514159e-01 -2.977108e-01 -3.803689e-03  2.152746e-01 -1.010179e-01 -4.856779e-01  1.980652e-01  2.138934e-01 -3.092183e-01 -6.697995e-02  2.632384e-02 -1.781995e-03  4.792194e-01 -2.651482e-01 -3.556295e-01 -1.732480e-01  8.940452e-01  1.045812e-01          46653          46640          46673          46731          46723          46587          46796          46727          46709          46789          46672          46755          46746          46819          46778          46798          46856          46923          46920          47214
4.996939e-01    -9.690269e-02 -6.558766e-02  1.508340e-01 -2.413571e-01 -3.519925e-02  7.016273e-02 -1.536020e-01 -4.378075e-01  1.600953e-01  5.184051e-02 -1.929013e-01  2.687974e-01 -2.276657e-01  1.378672e-02  3.879134e-01 -7.135284e-01  1.106027e-02  1.650521e-01  2.144376e-01  2.639191e-02          46571          46550          46585          46650          46648          46507          46713          46645          46629          46707          46600          46666          46665          46762          46725          46767          46834          46908          46922          47257
5.997193e-01    -1.296101e-01 -7.726816e-02  1.167802e-01 -2.355768e-01 -6.812259e-02 -9.334330e-02 -2.033150e-01 -3.178884e-01  1.463201e-01  7.465828e-02 -1.012115e-01  3.495386e-01 -3.779445e-01  1.566657e-01  3.575107e-01 -8.381018e-01  1.529967e-01 -5.250735e-01  3.398593e-01  1.558558e-01          46569          46548          46594          46652          46646          46520          46723          46656          46630          46719          46609          46695          46676          46788          46751          46814          46885          46984          47039          47385
6.997399e-01    -1.103186e-01 -4.051075e-02  7.449653e-02 -2.827040e-01 -1.145365e-01 -1.313034e-01 -2.250197e-01 -2.290059e-01  1.910756e-01  1.289080e-01 -7.422275e-02  2.524231e-01 -2.807199e-01  2.367658e-01  3.241928e-01 -6.017621e-01  3.403804e-03 -1.029787e-01  3.432171e-01  1.224104e-01          46667          46661          46700          46749          46742          46624          46825          46768          46763          46830          46723          46825          46806          46905          46869          46950          47020          47151          47221          47558
7.997536e-01    -3.220899e-02  4.128405e-02  1.296779e-01 -2.921703e-01 -9.470263e-02 -1.866700e-01 -2.119263e-01 -8.497108e-02  1.313455e-01  9.183902e-02 -3.339540e-02  1.551824e-01 -1.703701e-01  2.862960e-01  6.188100e-01 -5.009683e-01  1.036672e-01 -6.831983e-02  2.705447e-01 -2.188572e-01          46851          46809          46873          46898          46883          46788          46985          46929          46915          46980          46886          46977          46958          47073          47045          47132          47200          47395          47482          47750
8.997612e-01     4.901040e-02  1.070015e-01  1.947136e-01 -2.733037e-01 -1.380733e-01 -2.166244e-01 -1.583629e-01  1.150047e-01  1.603659e-01 -5.434299e-02  1.011392e-01 -1.434448e-01 -1.118385e-01  1.719175e-01  5.715449e-01 -2.130467e-01  3.561028e-01  2.839498e-01  4.244022e-01 -8.665381e-02          46996          46976          47025          47046          47026          46952          47138          47080          47078          47124          47058          47126          47135          47243          47210          47303          47420          47644          47755          47885
