# Number of bins: 20
#
# Size [cm]:     5.000000e-01  6.071401e-01  7.372383e-01  8.952140e-01  1.087041e+00  1.319972e+00  1.602816e+00  1.946268e+00  2.363315e+00  2.869727e+00  3.484652e+00  4.231345e+00  5.138039e+00  6.239019e+00  7.575918e+00  9.199288e+00  1.117051e+01  1.356413e+01  1.647066e+01  2.000000e+01   5.000000e-01   6.071401e-01   7.372383e-01   8.952140e-01   1.087041e+00   1.319972e+00   1.602816e+00   1.946268e+00   2.363315e+00   2.869727e+00   3.484652e+00   4.231345e+00   5.138039e+00   6.239019e+00   7.575918e+00   9.199288e+00   1.117051e+01   1.356413e+01   1.647066e+01   2.000000e+01
#
# Time           Normalized dust force                                                                                                                                                                                                                                                                   Number of particles counted
#
0.000000e+00     9.055577e-03 -6.038455e-03 -4.645881e-03 -7.282213e-03  7.554389e-03  2.667011e-03 -1.346488e-02 -9.063048e-03  4.037706e-03 -5.685248e-03  1.613546e-03  4.563406e-03  1.010149e-02 -6.578377e-03  1.042552e-02  1.126945e-02 -4.441378e-04  3.148924e-03  2.788740e-02  1.438988e-03          23584          23489          23589          23603          23587          23550          23651          23581          23558          23603          23579          23559          23543          23548          23565          23533          23573          23601          23503          23610
9.957525e-02    -1.962759e-01  2.208183e-02 -9.529309e-02 -2.986003e-01  8.212079e-02  1.214278e-01 -2.206622e-01 -6.413197e-02  8.110593e-01  3.715784e-01 -2.084341e-01 -4.418127e-02 -5.912003e-01  1.869277e-01  1.033409e+00 -4.944434e-02 -1.688312e+00 -4.365234e-01 -1.142660e+00  6.836626e-03          23550          23471          23571          23587          23565          23536          23632          23565          23534          23584          23560          23546          23530          23536          23554          23531          23567          23600          23497          23614
1.996169e-01    -1.967100e-01  6.932229e-02  1.572263e-03 -4.105328e-01 -5.397471e-02  1.504143e-01 -2.269067e-01 -2.187941e-01  7.304577e-01  4.435579e-01 -7.745781e-02 -2.848167e-01 -6.544245e-01  1.126367e-01  7.142902e-01  3.287844e-01 -1.184618e+00  5.739446e-02  2.163966e-01 -1.519732e-01          23490          23413          23514          23516          23506          23478          23580          23515          23482          23538          23506          23498          23493          23492          23507          23493          23546          23591          23492          23613
2.996402e-01    -1.770606e-01  6.084464e-02  1.149491e-01 -4.239283e-01 -3.978879e-02  2.004352e-01 -2.304144e-01 -4.629112e-01  3.548675e-01  5.174755e-01 -5.033369e-02 -4.134677e-01 -5.552983e-01  3.808465e-03  4.718224e-01 -1.573914e-01 -6.373187e-01 -2.850542e-01  4.083965e-01 -5.733855e-02          23412          23336          23440          23456          23435          23394          23510          23437          23419          23472          23439          23430          23417          23428          23437          23442          23513          23545          23469          23602
3.996579e-01    -2.029120e-01 -5.148355e-02  1.593580e-01 -4.721304e-01  7.320646e-02  1.558498e-01 -2.385116e-01 -5.592084e-01  4.758650e-02  5.319395e-01 -1.214481e-01 -4.524756e-01 -5.766636e-01  2.404011e-02  2.390429e-01  2.695770e-01 -5.217656e-01 -8.800549e-02  5.105229e-01  6.917909e-02          23332          23255          23377          23393          23379          23311          23432          23360          23347          23413          23372          23365          23361          23362          23380          23393          23470          23516          23445          23597
4.996739e-01    -2.085029e-01 -1.539938e-01  1.938752e-01 -3.897069e-01  1.320064e-01  7.508313e-02 -2.846476e-01 -5.816526e-01 -7.840991e-02  3.338061e-01 -4.984855e-02 -1.959899e-01 -9.934233e-01 -2.508786e-01 -5.513866e-02  3.384561e-01 -6.084055e-01 -6.607255e-01  8.897506e-01  1.533679e+00          23300          23224          23330          23345          23351          23272          23392          23319          23299          23365          23342          23323          23329          23339          23356          23368          23448          23509          23438          23616
5.996840e-01    -2.367215e-01 -1.708303e-01  2.067090e-01 -2.392174e-01  1.110112e-01 -4.201767e-02 -2.510697e-01 -4.998020e-01 -5.654227e-02  4.502117e-01 -1.107992e-01  8.532777e-02 -8.711638e-01 -3.242500e-01 -2.979205e-02 -5.531569e-02 -7.488483e-01 -2.611973e-01  5.859565e-01  2.423095e-01          23303          23231          23344          23349          23352          23278          23402          23324          23306          23369          23342          23330          23334          23350          23369          23390          23473          23545          23479          23663
6.996836e-01    -2.117039e-01 -1.219539e-01  1.812643e-01 -1.184102e-01 -4.859228e-02 -1.459913e-01 -3.124023e-01 -3.255769e-01  1.176192e-01  4.538997e-01 -3.154265e-01  2.879044e-01 -5.180002e-01 -5.565512e-01  1.279625e-01  9.788198e-02 -1.024535e+00  4.431986e-01  1.053608e-01 -2.373816e-01          23358          23277          23391          23412          23393          23333          23449          23384          23367          23423          23395          23389          23390          23411          23434          23446          23527          23611          23571          23747
7.996709e-01    -6.430061e-02  1.917523e-02  2.051902e-01 -9.715001e-02 -1.557966e-01 -1.282816e-01 -4.322214e-01 -5.189397e-02  7.531483e-03  2.696504e-01 -4.036923e-01  3.418878e-01 -3.493028e-01 -2.351009e-01  3.467913e-01  1.740508e-01 -9.696581e-01  7.383195e-01  4.398143e-01 -5.010715e-01          23443          23352          23467          23473          23463          23418          23535          23480          23441          23503          23481          23477          23482          23498          23523          23558          23620          23728          23700          23865
8.996473e-01     1.143209e-01  1.823091e-01  2.437739e-01 -1.773692e-01 -1.785186e-01 -2.449168e-01 -3.676327e-01  1.140072e-01  3.721808e-02  1.719626e-02 -1.979229e-01  5.340187e-02  1.057580e-02  8.740302e-02  7.832435e-02  3.487991e-02 -7.381350e-01  5.640756e-01  3.916793e-01 -8.474518e-01          23523          23442          23544          23539          23551          23496          23623          23544          23523          23566          23561          23559          23542          23590          23609          23645          23717          23823          23827          23929
9.996164e-01     1.621628e-01  2.342812e-01  2.370571e-01 -1.379227e-01 -2.526773e-01 -4.440002e-01 -2.971281e-01  1.182947e-01  2.961399e-01 -1.448362e-01  1.227903e-01 -1.277115e-01 -5.858100e-01  4.161404e-01  4.795762e-02  7.064464e-02  2.235503e-01  1.678349e-01  1.206905e-01 -5.637732e-01          23563          23490          23586          23587          23589          23553          23671          23586          23573          23614          23631          23600          23597          23658          23674          23721          23794          23916          23922          23963
